OBJECTID,BORO,TYPE,PROVIDER,LAT,LON,LOCATION_T,CITY
3574,QU,Free,Transit Wireless,40.742626,-73.953581,Subway Station,Queens
3575,QU,Free,Transit Wireless,40.742216,-73.948916,Subway Station,Queens
3576,QU,Free,Transit Wireless,40.747846,-73.946,Subway Station,Queens
573,QU,Limited Free,Time Warner Cable,40.73121,-73.774084,Outdoor TWC Aerial,Queens
3577,QU,Free,Transit Wireless,40.746554,-73.943832,Subway Station,Queens
3578,QU,Free,Transit Wireless,40.744065,-73.949724,Subway Station,Queens
3579,QU,Free,Transit Wireless,40.749669,-73.898453,Subway Station,Queens
3580,QU,Free,Transit Wireless,40.733106,-73.869229,Subway Station,Queens
3581,QU,Free,Transit Wireless,40.756312,-73.913333,Subway Station,Queens
3582,QU,Free,Transit Wireless,40.752885,-73.906006,Subway Station,Queens
3583,QU,Free,Transit Wireless,40.742454,-73.882017,Subway Station,Queens
3584,QU,Free,Transit Wireless,40.709179,-73.820574,Subway Station,Queens
3585,QU,Free,Transit Wireless,40.721691,-73.844521,Subway Station,Queens
3586,QU,Free,Transit Wireless,40.70546,-73.810708,Subway Station,Queens
3587,QU,Free,Transit Wireless,40.702147,-73.801109,Subway Station,Queens
3588,QU,Free,Transit Wireless,40.712646,-73.783817,Subway Station,Queens
3589,QU,Free,Transit Wireless,40.737015,-73.877223,Subway Station,Queens
3590,QU,Free,Transit Wireless,40.752039,-73.928781,Subway Station,Queens
3591,QU,Free,Transit Wireless,40.748973,-73.937243,Subway Station,Queens
3592,QU,Free,Transit Wireless,40.756879,-73.92074,Subway Station,Queens
3593,QU,Free,Transit Wireless,40.707564,-73.803326,Subway Station,Queens
3594,QU,Free,Transit Wireless,40.71047,-73.793604,Subway Station,Queens
3595,QU,Free,Transit Wireless,40.729846,-73.861604,Subway Station,Queens
3596,QU,Free,Transit Wireless,40.726523,-73.852719,Subway Station,Queens
594,QU,Limited Free,Time Warner Cable,40.730544,-73.776718,Outdoor TWC Aerial,Queens
3597,QU,Free,Transit Wireless,40.700486,-73.807969,Subway Station,Queens
3598,QU,Free,Transit Wireless,40.718331,-73.837324,Subway Station,Queens
597,QU,Limited Free,Time Warner Cable,40.730124,-73.773857,Outdoor,Queens
143,MN,Free,Chelsea,40.7425912548,-74.005064964,Outdoor,New York
598,QU,Limited Free,Time Warner Cable,40.730124,-73.773857,Outdoor,Queens
599,QU,Limited Free,Time Warner Cable,40.726811,-73.775861,Outdoor TWC Aerial,Queens
600,QU,Limited Free,Time Warner Cable,40.729869,-73.773841,Outdoor,Queens
601,QU,Limited Free,Time Warner Cable,40.730423,-73.777129,Outdoor TWC Aerial,Queens
602,MN,Limited Free,Time Warner Cable,40.772005,-73.982384,Outdoor,New York
603,BK,Limited Free,Time Warner Cable,40.61299,-74.012924,Outdoor,Brooklyn
604,QU,Limited Free,Time Warner Cable,40.730822,-73.884479,Outdoor TWC Aerial,Queens
605,QU,Limited Free,Time Warner Cable,40.730489,-73.8842,Outdoor TWC Aerial,Queens
606,QU,Limited Free,Time Warner Cable,40.728838,-73.883751,Outdoor TWC Aerial,Queens
607,MN,Limited Free,Time Warner Cable,40.771442,-73.988109,Outdoor,New York
608,MN,Limited Free,Time Warner Cable,40.771442,-73.988109,Indoor,New York
609,MN,Limited Free,Time Warner Cable,40.771442,-73.988109,Indoor,New York
610,MN,Limited Free,Time Warner Cable,40.771442,-73.988109,Indoor,New York
611,MN,Limited Free,Time Warner Cable,40.771442,-73.988109,Indoor,New York
3599,QU,Free,Transit Wireless,40.714441,-73.831008,Subway Station,Queens
3600,QU,Free,Transit Wireless,40.746644,-73.891338,Subway Station,Queens
3601,MN,Free,Transit Wireless,40.799446,-73.968379,Subway Station,New York
615,MN,Limited Free,Time Warner Cable,40.771442,-73.988109,Indoor,New York
616,SI,Limited Free,Time Warner Cable,40.59205,-74.139087,Outdoor TWC Aerial,Staten Island
617,SI,Limited Free,Time Warner Cable,40.591904,-74.138573,Outdoor TWC Aerial,Staten Island
618,SI,Limited Free,Time Warner Cable,40.592023,-74.138056,Outdoor TWC Aerial,Staten Island
3602,MN,Free,Transit Wireless,40.7906,-73.947478,Subway Station,New York
620,SI,Limited Free,Time Warner Cable,40.591847,-74.139153,Indoor,Staten Island
621,SI,Limited Free,Time Warner Cable,40.59203,-74.13812,Indoor,Staten Island
622,MN,Limited Free,Time Warner Cable,40.71996,-73.981478,Indoor,New York
623,MN,Limited Free,Time Warner Cable,40.720102,-73.981299,Outdoor,New York
624,BK,Free,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn
625,BK,Free,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn
626,BK,Free,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn
627,MN,Limited Free,Time Warner Cable,40.719789,-73.981466,Outdoor,New York
628,MN,Limited Free,Time Warner Cable,40.720005,-73.981438,Indoor,New York
629,MN,Limited Free,Time Warner Cable,40.812681,-73.939357,Indoor,New York
630,MN,Limited Free,Time Warner Cable,40.812681,-73.939357,Indoor,New York
631,MN,Limited Free,Time Warner Cable,40.812681,-73.939357,Outdoor,New York
632,MN,Limited Free,Time Warner Cable,40.812681,-73.939357,Outdoor,New York
633,MN,Limited Free,Time Warner Cable,40.812681,-73.939357,Indoor,New York
634,MN,Limited Free,Time Warner Cable,40.812681,-73.939357,Indoor,New York
635,MN,Limited Free,Time Warner Cable,40.812681,-73.939357,Indoor,New York
636,MN,Limited Free,Time Warner Cable,40.812681,-73.939357,Indoor,New York
637,QU,Limited Free,Time Warner Cable,40.733142,-73.870981,Outdoor TWC Aerial,Queens
638,QU,Limited Free,Time Warner Cable,40.733186,-73.871128,Outdoor TWC Aerial,Queens
639,QU,Limited Free,Time Warner Cable,40.742094,-73.961265,Outdoor,Queens
640,QU,Limited Free,Time Warner Cable,40.741994,-73.961256,Outdoor,Queens
641,MN,Limited Free,Time Warner Cable,40.846889,-73.941333,Outdoor,New York
642,MN,Limited Free,Time Warner Cable,40.846472,-73.941722,Outdoor,New York
3550,MN,Free,Transit Wireless,40.768247,-73.981929,Subway Station,New York
3603,MN,Free,Transit Wireless,40.796092,-73.961454,Subway Station,New York
643,MN,Limited Free,Time Warner Cable,40.8462,-73.941347,Outdoor,New York
644,MN,Limited Free,Time Warner Cable,40.846444,-73.939981,Outdoor,New York
645,MN,Limited Free,Time Warner Cable,40.846686,-73.940883,Indoor,New York
646,MN,Free,AT&T,40.7931,-73.9354,Outdoor,New York
647,QU,Free,AT&T,40.777,-73.9252,Outdoor,Queens
648,QU,Free,AT&T,40.7221,-73.8466,Outdoor,Queens
649,SI,Free,AT&T,40.6173,-74.1063,Outdoor,Staten Island
650,MN,Limited Free,Time Warner Cable,40.846562,-73.94086,Indoor,New York
651,MN,Limited Free,Time Warner Cable,40.846383,-73.940706,Indoor,New York
652,MN,Limited Free,Time Warner Cable,40.824778,-73.942178,Outdoor,New York
653,MN,Limited Free,Time Warner Cable,40.824131,-73.942464,Indoor,New York
654,MN,Limited Free,Time Warner Cable,40.824131,-73.942464,Indoor,New York
655,MN,Limited Free,Time Warner Cable,40.824131,-73.942464,Indoor,New York
656,MN,Limited Free,Time Warner Cable,40.824131,-73.942464,Indoor,New York
657,SI,Free,AT&T,40.589,-74.0667,Outdoor,Staten Island
658,MN,Free,AT&T,40.7148,-74.0028,Outdoor,New York
659,MN,Free,AT&T,40.7265,-73.9817,Outdoor,New York
660,QU,Limited Free,AT&T,40.7432,-73.8443,Outdoor,Queens
3604,MN,Free,Transit Wireless,40.79502,-73.94425,Subway Station,New York
3605,MN,Free,Transit Wireless,40.802098,-73.949625,Subway Station,New York
3606,MN,Free,Transit Wireless,40.798629,-73.941617,Subway Station,New York
3607,MN,Free,Transit Wireless,40.805085,-73.954882,Subway Station,New York
3608,MN,Free,Transit Wireless,40.807722,-73.96411,Subway Station,New York
3609,MN,Free,Transit Wireless,40.807745,-73.945502,Subway Station,New York
3610,MN,Free,Transit Wireless,40.804138,-73.937594,Subway Station,New York
3611,MN,Free,Transit Wireless,40.811109,-73.952343,Subway Station,New York
3612,MN,Free,Transit Wireless,40.814229,-73.94077,Subway Station,New York
3613,MN,Free,Transit Wireless,40.817894,-73.947649,Subway Station,New York
3614,MN,Free,Transit Wireless,40.822008,-73.953676,Subway Station,New York
3615,MN,Free,Transit Wireless,40.826551,-73.95036,Subway Station,New York
3616,MN,Free,Transit Wireless,40.820421,-73.936245,Subway Station,New York
3617,MN,Free,Transit Wireless,40.824783,-73.944216,Subway Station,New York
3618,MN,Free,Transit Wireless,40.830135,-73.938209,Subway Station,New York
3619,MN,Free,Transit Wireless,40.830518,-73.941514,Subway Station,New York
3620,MN,Free,Transit Wireless,40.834041,-73.94489,Subway Station,New York
3621,MN,Free,Transit Wireless,40.710688,-74.011029,Subway Station,New York
3622,MN,Free,Transit Wireless,40.836013,-73.939892,Subway Station,New York
3623,MN,Free,Transit Wireless,40.847391,-73.939704,Subway Station,New York
3624,MN,Free,Transit Wireless,40.851695,-73.937969,Subway Station,New York
3625,MN,Free,Transit Wireless,40.859022,-73.93418,Subway Station,New York
3626,MN,Free,Transit Wireless,40.855225,-73.929412,Subway Station,New York
3627,MN,Free,Transit Wireless,40.768141,-73.96387,Subway Station,New York
3628,MN,Free,Transit Wireless,40.77362,-73.959874,Subway Station,New York
3629,MN,Free,Transit Wireless,40.785672,-73.95107,Subway Station,New York
3630,BX,Free,Transit Wireless,40.807566,-73.91924,Subway Station,Bronx
3631,MN,Free,Transit Wireless,40.803967,-73.966847,Subway Station,New York
3632,MN,Free,Transit Wireless,40.800605,-73.958159,Subway Station,New York
3633,MN,Free,Transit Wireless,40.799075,-73.951822,Subway Station,New York
3634,BX,Free,Transit Wireless,40.805368,-73.914042,Subway Station,Bronx
3635,MN,Free,Transit Wireless,40.718611,-73.988114,Subway Station,New York
3636,MN,Free,Transit Wireless,40.718315,-73.987437,Subway Station,New York
3637,MN,Free,Transit Wireless,40.865491,-73.927271,Subway Station,New York
3638,BX,Free,Transit Wireless,40.808719,-73.907657,Subway Station,Bronx
3639,BX,Free,Transit Wireless,40.812118,-73.904098,Subway Station,Bronx
3640,MN,Free,Transit Wireless,40.713715,-73.990173,Subway Station,New York
3641,QU,Free,Transit Wireless,40.7596,-73.83003,Subway Station,Queens
3642,MN,Free,Transit Wireless,40.710374,-74.007582,Subway Station,New York
3643,MN,Free,Transit Wireless,40.709416,-74.006571,Subway Station,New York
3644,MN,Free,Transit Wireless,40.710368,-74.009509,Subway Station,New York
3645,MN,Free,Transit Wireless,40.71417,-73.999153,Subway Station,New York
3646,MN,Free,Transit Wireless,40.710197,-74.007691,Subway Station,New York
3647,MN,Free,Transit Wireless,40.82388,-73.93647,Subway Station,New York
3648,MN,Free,Transit Wireless,40.868072,-73.919899,Subway Station,New York
3649,QU,Free,Transit Wireless,40.702566,-73.816859,Subway Station,Queens
3650,BX,Free,Transit Wireless,40.816104,-73.896435,Subway Station,Bronx
3651,MN,Free,Transit Wireless,40.723402,-73.989938,Subway Station,New York
3652,BX,Free,Transit Wireless,40.874811,-73.878855,Subway Station,Bronx
3653,BX,Free,Transit Wireless,40.873244,-73.887138,Subway Station,Bronx
3654,BX,Free,Transit Wireless,40.866978,-73.893509,Subway Station,Bronx
712,MN,Limited Free,Time Warner Cable,40.824131,-73.942464,Indoor,New York
713,MN,Limited Free,Time Warner Cable,40.824131,-73.942464,Indoor,New York
714,QU,Limited Free,Time Warner Cable,40.718812,-73.88536,Outdoor TWC Aerial,Queens
715,QU,Limited Free,Time Warner Cable,40.720231,-73.877806,Outdoor,Queens
716,QU,Limited Free,Time Warner Cable,40.720598,-73.877337,Outdoor,Queens
717,QU,Limited Free,Time Warner Cable,40.721026,-73.877935,Outdoor,Queens
718,QU,Limited Free,Time Warner Cable,40.71921,-73.885335,Outdoor TWC Aerial,Queens
719,BK,Free,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn
720,BK,Free,Downtown Brooklyn,40.694693,-73.983849,Outdoor,Brooklyn
721,BK,Free,Downtown Brooklyn,40.694693,-73.983849,Outdoor,Brooklyn
722,BK,Free,Downtown Brooklyn,40.693721,-73.983328,Outdoor,Brooklyn
